â„– Race,Track,Position,No,Driver,Team,Starting Grid,Laps,Time/Retired,Points,Fastest Lap,Speed,Length,Distance,Turns,DRZ,PS,Wet,Track heat
1,Bahrain,1,1,Max Verstappen,Red Bull Racing Honda RBPT,1,57,93.94,25,No,196.861,5.412,308.238,15,3,2,0,31
2,Saudi Arabia,2,1,Max Verstappen,Red Bull Racing Honda RBPT,15,50,81.39,19,Yes,227.533,6.174,308.45,27,3,1,0,32
3,Australia,1,1,Max Verstappen,Red Bull Racing Honda RBPT,1,58,152.47,25,No,120.332,5.278,306.124,14,4,3,0,35
4,Azerbaijan,2,1,Max Verstappen,Red Bull Racing Honda RBPT,2,51,92.42,18,No,197.998,6.003,306.049,20,2,1,0,42
5,Miami,1,1,Max Verstappen,Red Bull Racing Honda RBPT,9,57,87.63,26,Yes,211.092,5.412,308.326,19,3,1,0,44
6,Monaco,1,1,Max Verstappen,Red Bull Racing Honda RBPT,1,78,108.86,25,No,143.452,3.337,260.286,19,1,1,1,44
7,Spain,1,1,Max Verstappen,Red Bull Racing Honda RBPT,1,66,87.96,26,Yes,209.560,4.657,307.236,14,2,2,0,33
8,Canada,1,1,Max Verstappen,Red Bull Racing Honda RBPT,1,70,93.97,25,No,194.910,4.361,305.27,14,3,2,0,33
9,Austria,1,1,Max Verstappen,Red Bull Racing Honda RBPT,1,71,85.56,26,Yes,214.902,4.318,306.452,10,3,3,0,32
10,Great Britain,1,1,Max Verstappen,Red Bull Racing Honda RBPT,1,52,85.28,26,Yes,215.424,5.891,306.198,18,2,1,0,30
11,Hungary,1,1,Max Verstappen,Red Bull Racing Honda RBPT,2,70,98.14,26,Yes,187.457,4.381,306.63,14,2,2,0,50
12,Belgium,1,1,Max Verstappen,Red Bull Racing Honda RBPT,6,44,82.5,25,No,224.017,7.004,308.052,19,2,2,0,28
13,Netherlands,1,1,Max Verstappen,Red Bull Racing Honda RBPT,1,72,144.07,25,No,127.679,4.259,306.587,14,2,6,1,30
14,Italy,1,1,Max Verstappen,Red Bull Racing Honda RBPT,2,51,73.68,25,No,240.318,5.793,306.72,11,2,1,0,43
15,Singapore,5,1,Max Verstappen,Red Bull Racing Honda RBPT,11,62,106.98,10,No,171.699,4.940,306.143,19,3,2,0,37
16,Japan,1,1,Max Verstappen,Red Bull Racing Honda RBPT,1,53,90.97,26,Yes,202.786,5.807,307.471,18,1,2,0,45
17,Qatar,1,1,Max Verstappen,Red Bull Racing Honda RBPT,1,57,87.65,26,Yes,211.250,5.419,308.611,16,1,3,0,37
18,United States,1,1,Max Verstappen,Red Bull Racing Honda RBPT,6,56,95.35,25,No,194.054,5.513,308.405,20,2,0,0,37
19,Mexico,1,1,Max Verstappen,Red Bull Racing Honda RBPT,3,71,122.51,25,No,149.544,4.304,305.354,17,3,3,0,48
20,Brazil,1,1,Max Verstappen,Red Bull Racing Honda RBPT,1,71,116.81,25,No,157.109,4.309,305.879,15,2,4,0,47
21,Las Vegas,1,1,Max Verstappen,Red Bull Racing Honda RBPT,2,50,89.13,25,No,208.636,6.201,309.958,17,2,2,0,18
22,Abu Dhabi,1,1,Max Verstappen,Red Bull Racing Honda RBPT,1,58,87.04,26,Yes,211.054,5.281,306.183,16,2,2,0,34